patrimonio;ip;tipo;local;idEscolaComp
127136;192.168.54.203;MINIPC;LAB;162
127135;192.168.54.33;MINIPC;SECRETARIA;162
127134;192.168.54.171;MINIPC;LAB;162
127133;;MINIPC;LAB;162
127132;;MINIPC;LAB;162
127131;;MINIPC;LAB;162
127130;192.168.54.32;MINIPC;SECRETARIA;162
127129;192.168.54.173;MINIPC;LAB;162
127128;192.168.54.168;MINIPC;LAB;162
127127;;MINIPC;LAB;162
127126;192.168.54.204;MINIPC;LAB;162
27125;192.168.54.163;MINIPC;LAB;162
127124;192.168.54.174;MINIPC;LAB;162
124918;192.168.54.157;PC;SALA DE AULA;162
124913;192.168.54.201;PC;SALA DE AULA;162
124909;192.168.54.101;PC;SALA DE AULA;162
124908;192.168.54.205;PC;SALA DE AULA;162
124907;192.168.54.204;PC;SALA DE AULA;162
124906;192.168.54.209;PC;SALA DE AULA;162
124905;192.168.54.154;PC;SALA DE AULA;162
124902;192.168.54.176;PC;SALA DE AULA;162
124901;192.168.54.207;PC;SALA DE AULA;162
124900;192.168.54.158;PC;SALA DE AULA;162
134298;;PC;LAB;163
134297;192.168.140.94;PC;LAB;163
134296;192.168.140.89;PC;LAB;163
134295;192.168.140.83;PC;LAB;163
134294;192.168.140.85;PC;LAB;163
134293;192.168.140.88;PC;LAB;163
134292;192.168.140.201;PC;SALA DE AULA;163
134291;192.168.140.87;PC;LAB;163
134290;192.168.140.90;PC;LAB;163
134289;;PC;LAB;163
134099;192.168.140.27;PC;PROFESSORES;163
133932;192.168.140.86;PC;LAB;163
133931;192.168.140.103;PC;LAB;163
133930;192.168.140.95;PC;LAB;163
133929;192.168.140.202;PC;SALA DE AULA;163
133928;192.168.140.93;PC;LAB;163
133927;192.168.140.92;PC;LAB;163
133926;192.168.140.81;PC;LAB;163
133925;192.168.140.91;PC;LAB;163
133924;192.168.140.203;PC;SALA DE AULA;163
133923;192.168.140.84;PC;LAB;163
127171;192.168.140.21;MINIPC;COORDENA?ÄO;163
127147;192.168.140.24;MINIPC;SECRETARIA;163
127146;192.168.140.22;MINIPC;DIRE?ÄO;163
127145;192.168.140.23;MINIPC;SECRETARIA;163
134268;192.168.121.93;PC;LAB;164
134267;192.168.121.94;PC;LAB;164
134266;192.168.121.95;PC;LAB;164
134265;192.168.121.96;PC;LAB;164
134264;192.168.121.97;PC;LAB;164
134263;192.168.121.80;PC;LAB;164
134262;192.168.121.81;PC;LAB;164
134261;192.168.121.83;PC;LAB;164
134260;192.168.121.84;PC;LAB;164
134259;192.168.121.82;PC;LAB;164
134258;192.168.121.86;PC;LAB;164
134257;192.168.121.85;PC;LAB;164
134256;;PC;LAB;164
